N,P,K,Crop
97,17,139,Lichi
53,22,122,Tur (Arhar/Toor Dal)
133,19,107,Cotton
98,18,161,Pineapple
80,24,211,Sweet Potato
75,24,203,Sweet Potato
121,27,187,Garlic
100,24,180,Pepper
62,10,100,Sitaphal (Custard Apple)
160,26,184,Jackfruit
151,24,233,Sugarcane
75,20,114,Cashewnut
147,14,105,Jowar (Sorghum)
133,24,109,Cotton
194,18,117,Rice
175,20,171,Jackfruit
54,21,106,Bengal Gram (Chickpea)
135,22,156,Safflower
157,21,236,Arecanut
78,16,136,Cardamom
106,15,81,Bajra (Pearl Millet)
75,13,168,Tapioca
197,24,186,Jackfruit
180,23,258,Grapes
107,18,131,Cotton
58,11,102,Cowpea
78,25,188,Sapota
141,10,175,Dragon Fruit
179,16,277,Banana
142,10,84,Bajra (Pearl Millet)
71,12,115,Coriander
198,15,290,Banana
60,20,87,Bengal Gram (Chickpea)
118,15,90,Jowar (Sorghum)
59,28,131,Soybean
92,15,126,Muskmelon
81,19,116,Sesame
103,21,108,Cotton
90,18,108,Mesta
150,25,160,Pomegranate
105,25,134,Castor
83,19,103,Muskmelon
184,15,124,Paddy
56,25,110,Avare (Field Bean)
67,17,84,Black Gram (Urad)
76,18,119,Muskmelon
135,11,82,Bajra (Pearl Millet)
123,30,169,Pepper
133,24,163,Cabbage
129,26,150,Turmeric
67,18,118,Groundnut
181,23,297,Banana
185,26,232,Grapes
84,22,195,Sapota
197,22,187,Onion
186,25,296,Mango
90,21,208,Sweet Potato
58,10,110,Horse Gram
92,23,113,Sesame
71,13,117,Sitaphal (Custard Apple)
89,16,89,Sesame
109,16,189,Sunflower
119,30,200,Ginger
146,24,168,Pomegranate
110,27,180,Pepper
133,23,167,Lemon
131,13,172,Dragon Fruit
149,23,162,Turmeric
138,25,154,Cabbage
133,19,113,Chillies
108,14,99,Ragi (Finger Millet)
81,16,176,Tapioca
114,29,153,Turmeric
190,17,299,Banana
102,15,121,Cotton
147,21,175,Tobacco
193,18,128,Paddy
78,17,122,Linseed
54,21,132,Cashewnut
94,21,108,Sesame
192,23,181,Onion
100,30,158,Guava
68,10,96,Horse Gram
95,20,149,Lichi
58,10,82,Green Gram (Moong)
123,21,200,Sunflower
67,16,143,Cashewnut
75,17,107,Avare (Field Bean)
97,23,167,Sapota
134,21,189,Lemon
116,10,97,Ragi (Finger Millet)
178,23,218,Potato
97,10,162,Tapioca
71,24,112,Bengal Gram (Chickpea)
70,12,122,Sitaphal (Custard Apple)
128,17,159,Sunflower
144,20,151,Pepper
117,20,187,Safflower
148,24,160,Pomegranate
184,22,128,Wheat
53,22,137,Groundnut
165,27,193,Jackfruit
58,10,101,Sitaphal (Custard Apple)
199,22,161,Maize
96,22,155,Pineapple
132,20,158,Dragon Fruit
91,25,115,Cardamom
62,17,147,Tur (Arhar/Toor Dal)
53,14,100,Coriander
55,10,107,Niger Seed
87,24,189,Fig
132,18,86,Jowar (Sorghum)
57,20,117,Groundnut
108,13,117,Ragi (Finger Millet)
109,20,184,Turmeric
159,25,296,Sugarcane
131,30,102,Mustard
85,25,208,Sweet Potato
149,13,80,Ragi (Finger Millet)
167,23,152,Onion
58,10,91,Horse Gram
53,13,106,Sunhemp
200,22,217,Coconut
117,27,193,Pomegranate
116,21,181,Pepper
193,28,195,Onion
107,21,183,Safflower
129,14,186,Dragon Fruit
186,20,151,Onion
73,20,120,Niger Seed
61,24,135,Tur (Arhar/Toor Dal)
105,20,156,Safflower
84,16,110,Lichi
71,27,90,Bengal Gram (Chickpea)
150,22,196,Safflower
54,20,93,Niger Seed
115,12,116,Navane (Foxtail Millet)
190,20,193,Tomato
88,18,164,Pineapple
136,10,97,Navane (Foxtail Millet)
76,17,193,Tapioca
130,27,171,Avocado
135,29,176,Pepper
62,15,110,Sunhemp
75,20,83,Avare (Field Bean)
97,21,143,Mesta
131,15,177,Safflower
149,20,155,Cabbage
154,28,135,Wheat
148,16,114,Chillies
200,26,235,Grapes
87,22,105,Cardamom
122,25,163,Garlic
146,19,107,Navane (Foxtail Millet)
120,23,176,Safflower
140,24,130,Cotton
143,18,96,Ragi (Finger Millet)
75,15,144,Cardamom
50,29,118,Soybean
65,20,111,Soybean
62,13,88,Niger Seed
50,14,119,Horse Gram
106,24,193,Cabbage
99,23,112,Mesta
131,22,185,Tobacco
152,29,255,Arecanut
133,28,177,Garlic
137,28,194,Ginger
115,20,173,Pepper
80,24,155,Pineapple
57,20,131,Groundnut
118,15,122,Chillies
111,30,180,Pepper
107,18,120,Chillies
103,17,96,Bajra (Pearl Millet)
178,24,259,Mango
196,19,122,Rice
101,26,152,Garlic
68,16,116,Green Gram (Moong)
121,27,151,Tobacco
81,22,128,Cardamom
145,24,175,Guava
79,18,136,Cardamom
185,19,236,Coconut
123,24,156,Pomegranate
174,15,298,Banana
191,21,269,Banana
149,24,189,Guava
111,20,150,Turmeric
191,19,166,Maize
70,10,109,Niger Seed
166,22,150,Onion
87,23,118,Sesame
139,27,181,Turmeric
147,21,166,Tobacco
133,10,92,Ragi (Finger Millet)
102,24,168,Ginger
185,16,283,Coconut
156,22,262,Sugarcane
155,21,297,Banana
152,29,149,Wheat
75,29,115,Soybean
53,27,89,Bengal Gram (Chickpea)
194,18,159,Maize
152,17,190,Maize
116,12,105,Ragi (Finger Millet)
81,13,143,Watermelon
162,16,265,Banana
129,24,155,Turmeric
130,24,170,Ginger
145,21,197,Guava
111,14,198,Dragon Fruit
86,14,180,Tapioca
173,21,212,Arecanut
104,29,156,Garlic
54,11,126,Sitaphal (Custard Apple)
120,28,185,Avocado
194,20,131,Wheat
83,13,113,Lichi
178,24,200,Onion
164,19,118,Rice
75,14,119,Green Gram (Moong)
130,16,162,Cabbage
199,23,294,Coconut
186,22,290,Potato
69,14,81,Cowpea
128,24,135,Cotton
117,11,185,Dragon Fruit
184,30,112,Wheat
150,30,110,Mustard
86,13,145,Linseed
139,25,166,Safflower
51,16,120,Coriander
95,24,170,Fig
74,16,101,Avare (Field Bean)
79,19,104,Muskmelon
108,25,165,Ginger
145,30,151,Pepper
177,25,177,Jackfruit
78,18,101,Mesta
146,28,165,Avocado
73,17,150,Tur (Arhar/Toor Dal)
71,22,121,Soybean
144,26,193,Pomegranate
81,12,126,Lichi
140,18,180,Sunflower
100,10,104,Lichi
63,12,118,Horse Gram
124,27,179,Pomegranate
68,29,130,Soybean
140,14,86,Ragi (Finger Millet)
132,29,182,Garlic
102,21,200,Ginger
54,15,114,Sunhemp
166,22,145,Wheat
72,15,128,Cashewnut
200,24,241,Mango
156,20,262,Coconut
182,18,131,Paddy
126,20,195,Avocado
169,21,135,Paddy
91,17,123,Muskmelon
72,24,133,Tur (Arhar/Toor Dal)
177,27,201,Mango
182,19,271,Banana
105,19,114,Navane (Foxtail Millet)
58,19,110,Tur (Arhar/Toor Dal)
131,16,161,Orange
152,19,285,Banana
199,19,110,Rice
151,23,126,Wheat
146,28,200,Guava
52,24,103,Tur (Arhar/Toor Dal)
162,25,108,Wheat
137,14,94,Navane (Foxtail Millet)
146,20,154,Ginger
82,25,200,Fig
180,23,200,Coconut
130,18,151,Dragon Fruit
175,21,281,Potato
138,19,114,Cotton
123,24,122,Mustard
128,10,171,Dragon Fruit
88,25,278,Sweet Potato
192,29,183,Jackfruit
117,13,106,Jowar (Sorghum)
92,11,112,Lichi
177,16,290,Coconut
94,16,119,Sesame
164,16,139,Rice
144,18,96,Ragi (Finger Millet)
61,20,96,Horse Gram
191,20,251,Coconut
57,14,109,Black Gram (Urad)
66,10,93,Cowpea
104,21,182,Sunflower
102,30,174,Garlic
105,15,154,Lemon
197,24,233,Arecanut
91,15,148,Muskmelon
111,29,189,Turmeric
124,15,154,Sunflower
108,28,102,Mustard
199,29,158,Tomato
86,13,183,Tapioca
152,22,276,Potato
112,25,117,Chillies
84,16,132,Lichi
193,23,226,Mango
82,25,167,Sapota
128,22,159,Tobacco
64,15,148,Groundnut
161,22,298,Sugarcane
95,20,120,Cardamom
121,27,178,Pomegranate
198,22,285,Banana
154,24,124,Paddy
57,20,89,Green Gram (Moong)
91,17,189,Sapota
79,18,112,Lichi
106,20,178,Garlic
183,15,168,Maize
183,25,154,Tomato
91,16,83,Sesame
62,20,90,Green Gram (Moong)
145,17,133,Chillies
106,25,186,Pepper
53,15,111,Green Gram (Moong)
61,17,114,Horse Gram
79,10,115,Muskmelon
134,16,186,Cabbage
50,10,96,Horse Gram
186,27,258,Grapes
86,17,110,Muskmelon
71,16,83,Sunhemp
129,13,84,Jowar (Sorghum)
186,30,110,Wheat
164,17,184,Maize
128,30,156,Avocado
158,23,270,Mango
183,29,160,Jackfruit
72,20,91,Horse Gram
100,16,164,Tapioca
53,24,132,Soybean
150,18,176,Maize
200,28,241,Mango
108,22,186,Orange
86,18,127,Mesta
112,15,186,Lemon
146,13,96,Navane (Foxtail Millet)
151,24,262,Mango
121,18,184,Orange
147,17,116,Chillies
57,14,115,Green Gram (Moong)
125,23,169,Ginger
178,27,231,Arecanut
156,22,248,Grapes
81,20,252,Sweet Potato
77,13,136,Muskmelon
92,12,138,Lichi
187,25,163,Onion
76,22,189,Sapota
159,20,154,Onion
116,17,177,Lemon
157,21,274,Sugarcane
126,15,178,Orange
137,23,151,Orange
144,25,172,Lemon
80,23,110,Cardamom
166,20,267,Arecanut
142,23,155,Sunflower
98,18,180,Fig
125,10,185,Dragon Fruit
171,20,229,Potato
172,18,104,Rice
73,22,117,Bengal Gram (Chickpea)
165,20,120,Rice
89,20,112,Cardamom
94,19,167,Fig
50,10,147,Coriander
181,20,166,Onion
130,19,149,Chillies
112,19,184,Safflower
75,18,89,Sunhemp
153,25,191,Jackfruit
65,20,97,Black Gram (Urad)
139,29,194,Avocado
73,17,91,Sunhemp
141,30,184,Ginger
60,10,108,Sunhemp
155,27,199,Tomato
73,18,124,Cashewnut
188,25,261,Banana
140,19,106,Navane (Foxtail Millet)
94,20,106,Sesame
143,20,181,Tobacco
186,25,248,Arecanut
67,12,84,Horse Gram
97,19,122,Lichi
110,21,150,Sunflower
70,23,82,Bengal Gram (Chickpea)
128,18,102,Navane (Foxtail Millet)
89,21,162,Fig
55,19,100,Tur (Arhar/Toor Dal)
119,15,154,Lemon
62,16,91,Niger Seed
85,13,114,Linseed
115,20,200,Dragon Fruit
153,27,184,Jackfruit
90,22,110,Mesta
172,30,261,Grapes
139,25,184,Ginger
123,10,106,Navane (Foxtail Millet)
58,11,112,Sunhemp
69,23,133,Cashewnut
178,17,249,Coconut
134,21,178,Cabbage
53,16,80,Avare (Field Bean)
95,22,234,Sweet Potato
128,28,184,Guava
125,13,81,Jowar (Sorghum)
113,29,119,Mustard
147,18,162,Sunflower
82,20,125,Mesta
158,23,113,Paddy
106,21,156,Guava
87,15,81,Sesame
83,21,154,Sapota
87,10,136,Lichi
142,17,160,Orange
59,11,117,Niger Seed
155,29,171,Tomato
54,28,99,Bengal Gram (Chickpea)
104,23,121,Cotton
167,30,224,Mango
83,11,105,Linseed
69,18,94,Avare (Field Bean)
131,11,97,Bajra (Pearl Millet)
52,24,98,Bengal Gram (Chickpea)
197,15,290,Coconut
187,20,270,Grapes
169,24,139,Wheat
127,22,188,Tobacco
91,20,98,Sesame
79,12,150,Lichi
75,28,114,Bengal Gram (Chickpea)
166,23,278,Banana
73,14,124,Sitaphal (Custard Apple)
143,23,135,Castor
160,20,108,Wheat
132,24,196,Cabbage
152,17,210,Potato
180,29,171,Onion
54,17,129,Cashewnut
112,24,176,Pepper
81,12,138,Linseed
158,25,156,Tomato
142,23,112,Chillies
176,20,247,Mango
75,13,98,Green Gram (Moong)
54,17,139,Groundnut
162,30,246,Mango
147,24,183,Guava
79,19,150,Pineapple
76,22,182,Sapota
170,25,181,Tomato
140,21,137,Cotton
97,24,162,Pineapple
77,24,153,Sapota
113,30,149,Mustard
63,25,115,Avare (Field Bean)
88,24,81,Sesame
117,26,196,Garlic
77,20,105,Watermelon
76,15,145,Cardamom
164,21,164,Tomato
161,29,178,Onion
50,15,111,Sitaphal (Custard Apple)
180,26,120,Wheat
90,25,157,Pineapple
66,24,115,Bengal Gram (Chickpea)
81,19,133,Muskmelon
60,16,105,Sitaphal (Custard Apple)
111,29,156,Pepper
58,19,116,Avare (Field Bean)
147,23,151,Cabbage
155,23,298,Sugarcane
124,28,182,Pomegranate
190,18,280,Sugarcane
63,17,96,Black Gram (Urad)
138,24,178,Pepper
133,22,129,Cotton
100,22,125,Castor
110,17,101,Cotton
168,29,168,Jackfruit
178,15,124,Paddy
165,29,264,Arecanut
160,19,187,Maize
182,21,164,Tomato
107,26,198,Turmeric
153,15,150,Rice
135,25,180,Guava
192,24,172,Maize
112,19,113,Bajra (Pearl Millet)
147,20,96,Navane (Foxtail Millet)
75,17,109,Avare (Field Bean)
59,23,97,Bengal Gram (Chickpea)
169,15,239,Coconut
56,20,95,Niger Seed
75,14,146,Muskmelon
140,14,80,Ragi (Finger Millet)
51,21,105,Tur (Arhar/Toor Dal)
100,12,113,Lichi
58,17,88,Green Gram (Moong)
51,11,108,Niger Seed
92,14,135,Linseed
68,19,120,Groundnut
154,25,272,Sugarcane
92,17,195,Pineapple
79,12,138,Watermelon
69,23,146,Soybean
124,15,164,Sunflower
121,22,161,Cabbage
125,19,199,Sunflower
94,17,158,Pineapple
72,16,126,Cashewnut
69,20,109,Green Gram (Moong)
154,26,166,Onion
184,25,255,Banana
151,22,186,Maize
145,22,131,Cotton
63,19,125,Coriander
108,24,191,Sunflower
98,11,103,Linseed
125,20,116,Bajra (Pearl Millet)
137,30,157,Turmeric
173,21,159,Tomato
90,18,87,Sesame
68,25,129,Groundnut
91,15,196,Fig
184,22,270,Coconut
75,18,118,Niger Seed
104,24,173,Turmeric
110,23,179,Avocado
132,13,81,Jowar (Sorghum)
67,16,89,Sunhemp
192,24,284,Sugarcane
189,17,128,Rice
79,18,128,Mesta
71,20,120,Black Gram (Urad)
103,25,180,Pomegranate
113,20,190,Ginger
109,15,195,Sunflower
78,24,186,Pineapple
134,24,165,Orange
146,23,175,Cabbage
77,16,131,Cardamom
99,17,107,Cardamom
104,20,180,Guava
100,17,286,Sweet Potato
120,29,169,Pepper
116,25,164,Guava
191,16,149,Rice
78,15,153,Fig
143,24,165,Ginger
73,21,122,Tur (Arhar/Toor Dal)
101,19,144,Cotton
96,18,114,Sesame
121,24,192,Cabbage
58,19,126,Coriander
176,22,121,Rice
123,12,98,Navane (Foxtail Millet)
122,17,84,Navane (Foxtail Millet)
143,21,195,Avocado
189,22,221,Coconut
115,22,196,Ginger
96,21,145,Mesta
62,23,146,Soybean
91,21,252,Sweet Potato
173,23,293,Grapes
146,20,126,Chillies
61,11,88,Green Gram (Moong)
61,18,135,Groundnut
74,25,125,Cashewnut
103,16,119,Castor
150,25,165,Tomato
55,23,147,Cashewnut
118,23,159,Pepper
73,20,84,Black Gram (Urad)
195,22,278,Coconut
143,13,91,Navane (Foxtail Millet)
102,23,163,Garlic
84,25,111,Mesta
173,26,197,Tomato
183,20,167,Jackfruit
84,16,145,Mesta
129,26,182,Turmeric
56,30,106,Soybean
59,14,106,Black Gram (Urad)
101,16,130,Cotton
116,20,142,Cotton
92,10,138,Muskmelon
136,15,95,Navane (Foxtail Millet)
167,21,202,Coconut
75,11,109,Cowpea
150,16,82,Bajra (Pearl Millet)
154,15,255,Banana
99,21,90,Sesame
95,15,180,Pineapple
150,13,106,Bajra (Pearl Millet)
147,16,189,Orange
75,13,101,Green Gram (Moong)
169,21,291,Coconut
94,10,106,Lichi
143,16,165,Dragon Fruit
83,20,180,Sapota
57,20,88,Sunhemp
72,25,86,Avare (Field Bean)
147,20,168,Ginger
134,18,158,Lemon
98,25,184,Fig
98,15,104,Mesta
71,21,107,Cashewnut
75,20,154,Pineapple
122,20,186,Pomegranate
77,24,109,Sesame
102,24,188,Orange
196,24,245,Grapes
76,14,191,Tapioca
151,25,280,Arecanut
126,19,137,Cotton
125,17,200,Safflower
136,18,101,Chillies
147,25,152,Turmeric
64,19,114,Cowpea
69,11,111,Niger Seed
92,12,132,Lichi
183,22,226,Mango
76,20,192,Sapota
105,30,193,Guava
117,15,166,Safflower
149,15,172,Orange
143,28,174,Avocado
96,11,177,Tapioca
101,18,177,Lemon
70,16,128,Cashewnut
151,22,148,Paddy
124,15,106,Castor
54,30,88,Bengal Gram (Chickpea)
198,18,269,Sugarcane
177,20,283,Arecanut
57,17,133,Groundnut
68,22,121,Groundnut
124,20,174,Garlic
199,29,246,Arecanut
132,24,151,Guava
131,29,191,Ginger
59,17,87,Sunhemp
164,20,180,Tomato
86,17,152,Tapioca
162,21,165,Tomato
97,11,115,Muskmelon
112,15,81,Navane (Foxtail Millet)
188,29,219,Mango
119,21,134,Mustard
149,25,171,Pomegranate
67,28,83,Bengal Gram (Chickpea)
105,29,170,Tobacco
70,19,135,Tur (Arhar/Toor Dal)
144,24,198,Orange
133,23,132,Mustard
104,19,169,Safflower
100,15,115,Ragi (Finger Millet)
69,15,140,Tur (Arhar/Toor Dal)
58,15,112,Cowpea
108,16,175,Cabbage
55,18,124,Sitaphal (Custard Apple)
55,16,93,Niger Seed
191,16,163,Maize
57,18,124,Groundnut
120,10,87,Navane (Foxtail Millet)
62,18,113,Cowpea
147,25,176,Pepper
50,11,91,Cowpea
73,12,138,Sitaphal (Custard Apple)
106,22,134,Chillies
77,18,136,Watermelon
132,23,179,Orange
179,29,265,Mango
119,24,194,Turmeric
162,15,269,Banana
147,28,160,Garlic
64,19,127,Tur (Arhar/Toor Dal)
72,19,92,Cowpea
163,28,193,Jackfruit
70,19,142,Tur (Arhar/Toor Dal)
67,12,81,Cowpea
198,19,295,Potato
67,11,108,Sunhemp
163,21,202,Coconut
68,18,118,Sunhemp
123,24,153,Garlic
75,16,98,Cowpea
111,25,152,Tobacco
180,27,130,Wheat
103,30,100,Mustard
112,28,186,Pomegranate
127,21,185,Avocado
151,19,170,Maize
97,19,140,Cardamom
59,18,116,Horse Gram
92,20,200,Tapioca
95,17,269,Sweet Potato
126,25,159,Pepper
75,17,115,Cowpea
148,26,169,Pepper
69,10,139,Coriander
143,24,186,Turmeric
50,13,102,Horse Gram
87,15,164,Tapioca
140,20,93,Navane (Foxtail Millet)
129,20,197,Pepper
146,23,151,Ginger
111,18,120,Navane (Foxtail Millet)
96,15,139,Lichi
123,22,115,Mustard
67,15,132,Tur (Arhar/Toor Dal)
200,25,287,Grapes
99,20,156,Tapioca
118,29,183,Tobacco
186,23,258,Banana
52,14,100,Cowpea
191,24,113,Wheat
125,16,141,Chillies
75,17,113,Cowpea
82,21,178,Fig
155,25,229,Coconut
113,13,81,Navane (Foxtail Millet)
132,28,173,Guava
110,22,176,Cabbage
191,22,209,Mango
197,23,221,Sugarcane
61,14,114,Coriander
110,22,158,Lemon
61,16,88,Avare (Field Bean)
91,18,123,Muskmelon
77,25,110,Mesta
150,30,274,Mango
141,13,164,Dragon Fruit
72,13,104,Green Gram (Moong)
145,26,182,Turmeric
117,21,195,Sunflower
60,16,116,Coriander
186,26,171,Jackfruit
86,23,129,Cardamom
195,22,289,Potato
56,16,116,Niger Seed
98,16,141,Linseed
128,24,175,Lemon
162,22,262,Grapes
104,19,85,Jowar (Sorghum)
181,22,146,Paddy
58,18,93,Horse Gram
55,13,91,Horse Gram
55,17,109,Sunhemp
197,22,213,Arecanut
114,30,177,Guava
149,16,112,Jowar (Sorghum)
75,18,113,Coriander
116,29,192,Tobacco
129,13,96,Bajra (Pearl Millet)
88,19,111,Sesame
63,11,139,Coriander
54,15,147,Tur (Arhar/Toor Dal)
103,21,151,Sunflower
131,13,165,Dragon Fruit
164,29,135,Wheat
93,18,179,Fig
138,21,158,Turmeric
132,15,177,Orange
76,10,111,Linseed
63,19,89,Horse Gram
53,13,120,Horse Gram
77,12,131,Lichi
179,23,164,Jackfruit
120,10,90,Bajra (Pearl Millet)
118,24,109,Chillies
67,25,116,Avare (Field Bean)
152,30,104,Wheat
200,24,193,Jackfruit
107,24,160,Ginger
187,24,262,Arecanut
87,16,162,Pineapple
53,19,113,Cowpea
189,16,238,Coconut
70,27,147,Soybean
143,24,136,Chillies
115,26,159,Ginger
172,22,289,Arecanut
109,11,194,Dragon Fruit
78,18,284,Sweet Potato
58,11,86,Cowpea
81,17,269,Sweet Potato
150,25,141,Wheat
130,19,112,Chillies
54,24,120,Bengal Gram (Chickpea)
143,18,139,Castor
71,13,83,Horse Gram
77,19,295,Sweet Potato
143,25,123,Chillies
130,22,192,Pomegranate
50,18,150,Groundnut
146,22,151,Sunflower
129,10,92,Jowar (Sorghum)
113,27,183,Turmeric
155,21,297,Mango
148,13,160,Dragon Fruit
51,24,90,Bengal Gram (Chickpea)
103,20,185,Pomegranate
167,21,158,Onion
80,25,151,Pineapple
180,22,281,Banana
156,29,199,Jackfruit
75,27,120,Soybean
130,11,82,Jowar (Sorghum)
140,20,144,Mustard
56,17,104,Niger Seed
114,10,200,Dragon Fruit
62,21,107,Groundnut
148,20,130,Cotton
165,21,258,Banana
90,17,180,Sapota
53,10,106,Sitaphal (Custard Apple)
124,16,103,Navane (Foxtail Millet)
60,13,112,Green Gram (Moong)
141,18,133,Cotton
98,20,135,Lichi
50,25,132,Cashewnut
107,27,190,Ginger
151,27,179,Jackfruit
143,10,115,Bajra (Pearl Millet)
99,15,173,Tapioca
85,22,85,Sesame
101,29,159,Turmeric
53,11,82,Green Gram (Moong)
143,18,191,Cabbage
189,20,184,Tomato
124,16,153,Orange
68,20,92,Avare (Field Bean)
137,21,198,Garlic
103,25,195,Pomegranate
81,17,168,Fig
172,18,140,Rice
89,19,107,Mesta
50,19,147,Tur (Arhar/Toor Dal)
139,16,106,Castor
117,29,193,Pomegranate
95,18,159,Sapota
68,17,83,Horse Gram
169,16,248,Coconut
153,27,285,Grapes
163,27,149,Wheat
122,14,197,Dragon Fruit
73,19,113,Sunhemp
146,17,119,Bajra (Pearl Millet)
92,18,178,Sapota
88,17,158,Fig
151,23,278,Banana
122,24,187,Garlic
149,26,152,Ginger
100,12,141,Linseed
170,26,251,Grapes
57,23,144,Cashewnut
63,20,131,Tur (Arhar/Toor Dal)
139,15,165,Dragon Fruit
133,16,196,Orange
52,10,112,Cowpea
97,13,130,Lichi
100,15,146,Linseed
75,19,83,Black Gram (Urad)
147,20,90,Jowar (Sorghum)
120,23,200,Sunflower
167,19,260,Coconut
59,13,133,Sitaphal (Custard Apple)
143,25,178,Cabbage
76,19,190,Pineapple
88,10,138,Linseed
107,10,99,Bajra (Pearl Millet)
197,19,175,Maize
144,20,88,Navane (Foxtail Millet)
104,27,152,Avocado
87,24,82,Sesame
94,18,141,Lichi
185,27,158,Onion
70,18,137,Coriander
102,22,190,Guava
67,13,108,Cowpea
56,22,86,Bengal Gram (Chickpea)
160,20,197,Onion
124,17,172,Lemon
134,15,87,Bajra (Pearl Millet)
144,23,157,Safflower
98,25,163,Pineapple
199,26,274,Arecanut
63,27,135,Soybean
199,24,236,Sugarcane
54,18,107,Cashewnut
75,20,116,Coriander
200,28,159,Tomato
67,28,119,Bengal Gram (Chickpea)
147,23,174,Pepper
143,25,167,Safflower
75,17,105,Avare (Field Bean)
97,22,240,Sweet Potato
88,18,174,Pineapple
66,25,140,Cashewnut
66,21,99,Bengal Gram (Chickpea)
196,18,112,Rice
166,23,177,Jackfruit
182,23,121,Wheat
53,12,99,Black Gram (Urad)
68,20,103,Coriander
101,13,85,Ragi (Finger Millet)
162,16,286,Coconut
198,22,272,Banana
111,24,158,Safflower
84,16,105,Sesame
80,11,197,Tapioca
145,22,189,Garlic
124,21,195,Cabbage
152,24,110,Paddy
71,18,114,Sitaphal (Custard Apple)
66,18,90,Sunhemp
81,12,118,Linseed
109,20,103,Chillies
137,26,178,Garlic
155,23,283,Arecanut
151,16,265,Potato
142,26,152,Pepper
170,19,237,Potato
89,25,137,Mesta
61,15,113,Avare (Field Bean)
140,16,160,Dragon Fruit
74,10,95,Horse Gram
96,22,176,Sapota
145,19,115,Castor
73,12,102,Coriander
79,17,186,Sapota
174,30,260,Grapes
136,10,116,Ragi (Finger Millet)
105,20,174,Garlic
122,23,101,Castor
174,25,260,Grapes
110,21,168,Avocado
125,18,92,Bajra (Pearl Millet)
73,19,115,Avare (Field Bean)
75,22,106,Tur (Arhar/Toor Dal)
75,19,101,Horse Gram
192,16,143,Paddy
128,19,150,Lemon
175,25,257,Banana
75,26,114,Bengal Gram (Chickpea)
74,13,88,Cowpea
119,22,156,Cabbage
62,23,112,Groundnut
152,24,259,Potato
117,13,87,Ragi (Finger Millet)
62,19,140,Coriander
117,23,177,Sunflower
179,28,123,Wheat
162,20,294,Banana
91,10,150,Watermelon
127,12,98,Jowar (Sorghum)
166,16,291,Banana
158,22,247,Coconut
130,13,107,Jowar (Sorghum)
174,30,277,Grapes
63,15,86,Avare (Field Bean)
118,26,189,Turmeric
120,27,186,Pomegranate
145,20,103,Jowar (Sorghum)
100,10,96,Bajra (Pearl Millet)
107,18,183,Sunflower
56,17,104,Horse Gram
63,24,134,Groundnut
123,23,189,Lemon
130,25,132,Chillies
103,19,120,Navane (Foxtail Millet)
54,18,116,Coriander
122,20,114,Ragi (Finger Millet)
135,26,172,Pepper
155,24,205,Mango
142,30,100,Mustard
175,24,146,Wheat
95,22,258,Sweet Potato
192,18,272,Banana
114,22,159,Tobacco
88,17,107,Mesta
160,23,146,Wheat
187,30,212,Mango
122,12,98,Jowar (Sorghum)
82,20,103,Linseed
90,16,131,Mesta
52,16,127,Groundnut
150,23,281,Coconut
93,13,117,Watermelon
75,13,128,Muskmelon
157,26,171,Jackfruit
115,28,167,Pepper
161,27,159,Onion
116,15,170,Dragon Fruit
157,20,172,Tomato
74,15,100,Avare (Field Bean)
51,21,146,Soybean
151,15,127,Paddy
113,25,160,Orange
102,27,159,Turmeric
84,18,156,Tapioca
50,25,124,Cashewnut
147,18,141,Castor
137,11,86,Jowar (Sorghum)
138,20,130,Chillies
52,12,95,Horse Gram
114,28,157,Garlic
185,28,156,Jackfruit
54,16,115,Cashewnut
197,27,166,Jackfruit
142,26,140,Mustard
71,21,88,Bengal Gram (Chickpea)
98,19,100,Cardamom
167,17,290,Potato
147,19,182,Dragon Fruit
101,11,165,Dragon Fruit
112,17,134,Castor
75,13,129,Sitaphal (Custard Apple)
147,16,107,Chillies
182,23,232,Arecanut
199,16,135,Rice
66,17,126,Tur (Arhar/Toor Dal)
52,18,84,Black Gram (Urad)
111,16,193,Safflower
128,23,101,Castor
137,16,121,Cotton
116,19,124,Castor
179,15,288,Coconut
66,23,99,Bengal Gram (Chickpea)
115,21,193,Tobacco
150,17,99,Navane (Foxtail Millet)
131,24,165,Orange
100,19,190,Lemon
51,20,101,Horse Gram
101,21,195,Avocado
59,16,84,Green Gram (Moong)
69,14,132,Coriander
192,22,238,Grapes
68,30,118,Soybean
60,15,104,Sitaphal (Custard Apple)
75,17,151,Sapota
141,26,175,Pomegranate
72,12,98,Black Gram (Urad)
143,23,172,Cabbage
76,17,102,Lichi
167,25,179,Onion
144,22,178,Garlic
59,21,119,Tur (Arhar/Toor Dal)
69,14,99,Cowpea
136,24,199,Tobacco
56,15,114,Tur (Arhar/Toor Dal)
89,19,177,Fig
77,14,195,Tapioca
128,23,126,Cotton
118,24,124,Mustard
163,29,277,Mango
121,22,151,Sunflower
64,17,107,Sunhemp
60,14,109,Sitaphal (Custard Apple)
149,27,189,Pepper
178,27,104,Wheat
59,11,98,Niger Seed
149,28,158,Avocado
153,20,260,Banana
134,29,150,Avocado
102,20,165,Lemon
100,20,102,Bajra (Pearl Millet)
93,24,131,Cardamom
73,18,112,Sitaphal (Custard Apple)
65,25,131,Cashewnut
52,19,113,Niger Seed
172,22,172,Maize
65,23,114,Soybean
62,17,131,Groundnut
90,12,152,Tapioca
